,NAME,INDUSTRY,2021/6/30,2021/7/1,2021/7/2,2021/7/5,2021/7/6,2021/7/7,2021/7/8,2021/7/9,2021/7/12,2021/7/13,2021/7/14,2021/7/15,2021/7/16,2021/7/19,2021/7/20,2021/7/21,2021/7/22,2021/7/23,2021/7/26,2021/7/27,2021/7/28,2021/7/29,2021/7/30,2021/8/2,2021/8/3,2021/8/4,2021/8/5,2021/8/6,2021/8/9,2021/8/10
300671.SZ,富满电子,半导体,99.97,99.97,99.97,99.92,99.95,99.97,99.97,99.92,99.97,99.76,99.97,99.84,99.79,99.76,99.81,99.42,99.47,99.58,99.28,98.46,85.56,87.36,70.3,65.42,26.6,5.86,5.8,9.64,6.78,23.32
300339.SZ,润和软件,软件服务,99.95,99.76,99.89,99.87,99.81,99.58,98.3,91.76,85.82,86.57,82.46,58.27,50.82,55.56,56.44,52.99,49.92,40.22,13.49,38.39,5.46,29.01,58.98,25.38,6.54,7.79,8.4,19.55,2.97,1.93
603876.SH,鼎胜新材,铝,99.92,99.74,99.21,98.01,98.94,98.54,99.15,98.36,95.89,84.9,88.71,85.03,90.43,86.7,73.95,86.27,60.68,79.28,67.38,44.52,86.54,93.35,91.12,86.57,55.54,71.99,67.22,91.73,92.87,98.07
002772.SZ,众兴菌业,种植业,99.89,99.95,99.87,99.68,99.84,99.81,99.71,99.55,99.52,99.44,99.5,98.94,98.81,98.57,97.8,96.21,84.34,49.39,6.94,3.13,7.34,2.89,0.95,3.74,1.43,1.83,2.68,3.74,2.91,3.37
300393.SZ,中来股份,塑料,99.87,99.84,99.81,99.97,99.87,99.89,99.87,99.81,99.79,99.15,98.89,99.26,98.89,99.1,98.73,98.75,99.15,99.47,99.23,95.26,71.2,80.98,85.82,35.24,77.37,64.23,46.82,60.89,56.28,44.65
300608.SZ,思特奇,软件服务,99.84,99.44,99.76,99.66,99.76,99.66,98.46,90.89,65.95,39.77,13.91,5.19,8.8,1.32,2.41,1.22,0.72,2.6,1.93,10.78,3.37,16.16,6.54,4.64,1.51,2.12,1.22,2.09,0.85,1.17
000009.SZ,中国宝安,综合类,99.81,99.71,99.66,99.5,99.42,98.81,99.26,99.18,99.28,97.96,98.68,97.72,96.32,94.57,96.21,97.06,98.12,96.71,93.61,89.56,81.96,90.7,89.59,91.2,84.42,90.67,91.84,91.68,76.1,85.08
002592.SZ,ST八菱,汽车配件,99.79,99.92,99.92,99.95,99.97,99.95,99.95,99.97,99.89,99.63,99.74,99.28,99.21,98.52,96.93,93.03,83.76,64.86,42.37,44.41,56.78,46.93,13.22,2.57,0.9,0.9,0.53,0.26,0.29,0.53
300350.SZ,华鹏飞,仓储物流,99.76,99.28,99.47,99.52,99.52,99.39,99.34,99.47,99.42,98.86,99.76,99.34,98.52,98.97,98.83,98.73,98.3,90.94,64.97,8.48,0.98,2.44,0.98,0.69,0.79,0.61,0.66,0.42,0.98,0.69
002346.SZ,柘中股份,电气设备,99.74,98.65,95.76,93.75,94.78,90.78,79.65,78.64,89.14,76.05,52.04,59.19,37.55,33.44,73.18,74.46,81.27,77.24,73.95,70.64,62.96,85.88,80.5,71.22,73.08,71.89,45.68,19.85,16.93,24.77
