,NAME,INDUSTRY,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08
300339.SZ,润和软件,软件服务,99.98,99.98,99.98,99.98,99.98,45.1,42.37,41.09,44.14,46.76,99.98,99.95,99.91,99.95,99.77,99.88,99.88,99.84,99.51,98.2,91.69,85.6,86.63,82.59,59.38,53.06,57.0,58.7,54.88,51.61,41.95,15.26,40.13,6.0,30.8,59.54,26.69,6.86,8.49,8.96,20.42,3.17,1.8,0.84,0.63,0.54,2.43,2.1,0.77,0.89,1.28,2.92,1.03,2.78,2.71,0.58,2.24,4.22,0.98,0.96,0.68,0.35,0.72,0.56,0.54,1.38,1.73,23.33,32.1,24.48,5.32,7.26,24.94,44.31,79.16,82.08,57.09,74.27,85.18,85.09,76.25,86.7,79.93,85.07,91.04,93.72,95.71,52.87,59.75,59.05,78.21,79.84,57.93,32.59,14.58,17.66,43.35,21.28,52.92,40.83
002622.SZ,融钰集团,电气设备,99.95,99.93,99.72,99.11,98.13,95.66,94.87,88.68,55.83,67.8,67.17,21.33,5.44,2.12,1.82,1.45,2.36,8.84,3.45,5.06,3.78,7.0,12.83,63.91,59.36,71.16,72.75,81.8,83.27,77.39,63.3,62.86,47.67,63.35,65.24,63.91,66.43,49.81,67.45,64.49,69.44,59.38,69.95,41.74,38.89,22.66,2.78,1.17,4.74,8.1,12.97,9.8,35.88,50.09,52.92,35.25,34.62,77.55,69.62,75.66,54.53,52.71,45.68,48.93,55.11,50.02,52.24,73.01,57.91,66.94,79.12,87.05,79.91,91.88,94.42,89.36,76.95,26.15,12.97,14.79,31.4,15.82,17.45,8.28,9.54,17.08,18.62,8.12,13.95,12.27,4.43,13.39,40.6,5.72,1.56,7.51,20.0,47.69,58.14,68.34
300079.SZ,数码视讯,通信设备,99.93,99.88,99.93,99.91,99.91,99.93,99.86,99.6,97.64,96.45,84.44,96.29,88.22,90.69,89.2,95.8,99.16,99.32,95.59,94.52,92.21,90.55,72.21,82.1,80.87,86.86,71.33,89.87,91.46,92.74,95.57,49.28,68.32,72.05,73.75,73.08,36.21,8.07,17.27,18.27,5.86,6.49,9.85,11.95,14.44,24.41,42.7,27.9,35.7,56.18,67.62,94.68,91.83,89.43,76.34,81.96,52.22,73.71,56.7,59.68,49.04,65.24,78.35,96.29,88.19,84.37,87.35,87.33,86.54,63.37,35.58,22.31,31.52,48.13,25.69,28.58,33.6,35.14,41.3,41.51,22.49,5.04,4.08,0.37,1.68,0.56,0.77,1.0,2.19,4.5,4.29,6.21,4.25,4.46,52.71,27.55,59.73,64.0,78.74,81.36
600753.SH,东方银星,商贸代理,99.91,99.56,97.78,96.57,93.58,91.27,85.95,86.47,84.62,85.32,82.62,55.04,29.23,27.2,34.48,17.64,24.92,8.26,6.86,7.07,24.45,52.36,83.99,80.96,67.83,33.97,13.84,62.44,86.98,62.18,43.7,66.54,26.48,6.7,2.43,1.12,1.73,3.15,48.53,41.46,48.58,49.23,21.91,56.86,57.61,70.3,53.57,19.72,7.07,28.6,63.65,26.34,62.13,91.2,86.4,87.75,60.97,31.85,9.92,16.52,13.18,13.65,21.65,6.49,6.02,3.24,3.73,6.65,6.51,4.69,2.33,2.17,0.56,0.16,0.19,0.28,0.4,0.82,0.56,0.68,0.21,0.26,0.37,0.33,0.42,0.23,0.61,0.35,0.4,0.14,0.05,0.05,0.19,0.65,0.37,0.93,1.61,0.63,0.7,0.63
688609.SH,九联科技,家用电器,99.88,99.95,99.79,99.84,99.86,99.74,99.93,99.93,99.98,99.95,99.91,99.91,99.93,99.86,99.28,99.18,99.49,99.07,93.96,85.67,13.77,2.66,41.3,21.47,9.05,21.37,3.1,4.08,2.59,1.77,4.78,5.69,8.73,5.27,36.84,74.08,76.71,55.95,60.83,50.91,71.61,64.7,63.98,49.88,58.42,47.55,31.82,22.54,17.9,34.27,54.85,58.82,27.16,30.59,15.47,1.54,0.58,1.7,0.96,1.68,2.15,0.98,1.7,2.54,2.43,4.48,4.97,48.34,28.77,17.45,9.61,12.27,30.21,46.64,72.03,56.07,49.6,69.58,82.66,80.21,60.45,74.8,83.15,86.7,89.22,93.82,94.63,48.34,67.64,72.54,80.91,80.77,49.14,39.57,20.39,37.12,57.56,34.69,52.96,49.42
002679.SZ,福建金森,林业,99.86,99.72,99.65,99.53,99.67,99.28,98.11,98.37,96.99,84.88,53.41,13.42,3.57,1.42,1.96,1.75,1.66,3.59,1.0,2.43,4.71,10.73,41.72,74.69,27.27,12.86,5.62,2.12,1.31,4.48,2.64,6.63,11.5,9.64,23.33,19.65,22.89,3.41,7.33,3.8,5.13,6.46,0.98,0.93,1.47,3.27,5.53,5.97,4.08,3.71,44.14,27.9,49.0,60.31,36.35,29.02,20.02,34.95,22.75,31.54,29.51,21.72,27.88,23.68,35.7,31.99,42.07,26.76,41.93,30.61,6.65,10.69,20.0,20.18,32.92,41.13,44.56,37.35,60.1,61.69,60.83,60.73,71.3,36.14,44.33,40.11,48.02,61.25,70.3,79.05,75.99,82.38,37.77,28.37,17.69,24.94,33.53,25.73,24.87,12.79
688078.SH,龙软科技,软件服务,99.84,99.91,99.84,99.81,99.88,99.95,99.95,99.95,99.77,98.67,96.34,98.23,95.96,92.39,96.38,97.29,96.83,91.11,88.12,87.35,20.23,6.46,31.66,40.64,18.39,8.49,8.94,3.76,2.08,3.59,4.08,8.75,32.01,12.51,25.03,14.44,27.74,62.04,73.73,70.7,73.68,65.52,69.74,74.83,94.68,96.69,94.96,96.71,95.71,96.92,97.2,97.74,96.03,98.95,99.49,99.63,99.28,97.95,97.76,98.13,99.11,99.53,98.9,98.79,93.72,96.92,94.12,96.01,96.22,95.47,96.9,90.46,86.63,69.39,20.23,13.49,15.03,33.55,29.93,13.79,7.61,6.07,8.61,17.9,13.79,5.95,18.88,2.8,7.3,15.52,5.3,6.07,7.86,5.23,5.88,11.41,22.4,22.59,31.71,88.78
600906.SH,财达证券,证券,99.81,99.77,99.21,98.11,95.24,94.35,82.1,71.07,52.94,82.17,87.75,73.36,63.07,58.17,35.74,62.39,30.38,66.68,54.74,63.84,61.71,46.99,44.66,63.35,67.48,21.56,19.06,13.28,20.44,18.32,8.91,19.67,27.48,26.78,61.74,42.3,51.17,29.61,25.06,15.91,10.5,10.8,27.58,13.42,8.42,9.26,15.75,21.23,55.76,23.61,14.47,16.59,9.22,6.86,8.82,18.55,14.33,18.5,32.5,43.09,36.7,40.62,37.14,54.74,53.34,53.08,40.18,26.83,11.27,19.39,21.65,28.77,27.72,34.34,42.81,42.95,50.14,36.77,21.91,18.25,17.73,24.41,20.65,13.25,17.36,27.09,35.74,37.49,31.03,42.23,26.95,30.14,31.17,23.31,14.28,14.68,15.84,24.24,24.31,34.55
600112.SH,*ST天成,电气设备,99.79,99.84,44.61,50.77,49.42,99.91,99.91,99.98,99.95,99.93,48.79,45.5,53.43,54.15,58.35,99.74,99.63,99.72,99.63,99.67,56.7,50.21,43.16,42.37,49.42,52.85,57.56,58.49,55.67,52.01,56.25,60.87,62.11,72.52,62.3,22.52,4.71,1.05,0.54,0.56,57.05,58.07,56.18,52.87,48.18,47.71,44.63,55.18,55.27,59.38,25.55,55.41,79.4,87.54,91.37,96.64,39.01,39.99,42.23,37.52,36.0,36.28,36.98,35.77,36.93,38.24,39.06,34.13,85.63,68.27,33.18,40.34,15.68,5.62,8.03,1.84,67.52,63.35,57.44,60.99,67.76,71.56,74.48,79.47,78.09,75.52,76.95,75.57,0.86,0.86,3.71,6.28,32.36,60.17,43.51,48.04,33.81,57.12,63.63,32.41
300035.SZ,中科电气,电气设备,99.77,99.81,99.67,99.51,99.35,99.63,99.53,99.56,99.6,99.65,99.56,98.44,97.46,98.27,98.44,98.53,98.44,99.02,99.14,98.88,98.6,98.39,98.37,97.32,97.99,91.6,86.12,85.93,88.19,86.79,57.21,70.74,52.68,69.97,60.94,15.03,12.25,4.04,11.34,9.78,21.89,1.4,1.56,14.07,4.15,6.88,5.02,2.01,0.93,2.71,25.36,10.83,39.9,23.82,34.76,63.37,70.72,77.13,19.79,14.3,11.34,11.81,35.84,21.12,29.65,45.52,83.97,97.88,98.69,98.2,98.3,98.55,98.51,97.99,96.9,96.24,88.54,95.08,97.67,96.99,95.17,99.0,97.64,97.88,97.85,97.97,97.13,68.5,41.46,82.8,84.62,87.84,89.85,90.57,94.84,96.48,97.55,94.89,91.81,97.08
