,NAME,INDUSTRY,2021-01-27,2021-01-28,2021-01-29,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-08,2021-02-09,2021-02-10,2021-02-18,2021-02-19,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03
300274.SZ,阳光电源,电气设备,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.95,99.97,99.97,99.95,99.95,99.97,99.97,99.97,99.9,99.9,99.9,99.69,99.56,99.59,99.67,99.69,99.41,99.51,99.69,99.67,99.74,99.72,99.46,99.31,99.33,99.28,99.26,99.41,99.51,99.49,99.33,99.54,99.64,99.43,99.46,99.51,99.51,99.05,98.05,97.87,98.72,98.33,98.41,98.12,97.12,98.2,97.05,97.51,98.46,98.46,98.66,98.46,98.46,97.69,97.82,97.89,97.97,98.23,98.12,98.02,98.23,97.71,97.79,96.58,95.92,96.35,96.15,97.02,96.4,94.3,93.6,94.99,95.71,94.27,94.84,93.86,93.89,91.5,93.76,95.53,94.17,91.73,89.13,88.8,89.93,85.38,86.98,88.06,83.95,83.41,87.85,89.24,89.47,89.73,89.31,90.19,85.74,85.44,83.79,81.99,90.93,90.16,90.98,85.82,84.07,79.94,77.09,77.22,76.14,68.94,73.11,74.98,88.42,91.06,89.01,89.9,90.08,90.52,92.06,93.63,95.71,94.45,96.74,96.3,95.09,94.09,92.4
002176.SZ,江特电机,电气设备,99.95,99.95,99.95,99.95,99.95,99.79,99.69,99.49,79.53,78.55,79.86,78.71,76.39,99.79,99.64,99.87,99.87,99.79,99.79,99.87,99.87,99.85,99.79,99.85,99.9,99.87,99.9,99.9,99.95,99.95,99.95,99.95,99.95,99.95,99.97,99.95,99.95,99.95,99.95,99.92,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,72.49,99.95,99.95,99.95,99.95,99.92,99.92,99.92,99.9,99.9,99.85,99.87,99.9,99.87,99.87,99.9,99.92,99.82,99.82,99.87,99.87,99.9,99.92,99.92,99.9,99.9,99.82,99.79,99.79,99.82,99.72,99.64,99.56,99.54,99.46,99.46,99.54,99.46,99.46,99.41,99.31,98.97,99.08,99.18,98.95,98.66,98.38,98.05,97.61,97.25,97.35,97.87,98.48,98.87,98.97,99.23,99.13,98.95,98.69,98.48,98.28,97.71,97.38,97.74,98.43,98.66,98.12,98.46,98.54,98.87,98.51,98.3,97.82,98.15,98.77,99.36,99.69,99.77,99.82,99.87,99.87,99.74,99.72,99.61,99.64,99.43,99.61,99.61,99.61,99.67,99.74,99.72,99.59,99.64,99.74,99.74,99.85,99.79,99.72,99.59
603486.SH,科沃斯,家用电器,99.92,99.92,99.85,99.92,99.92,99.9,99.95,99.95,99.95,99.92,99.9,99.9,99.85,99.82,99.87,99.82,99.95,99.87,99.82,99.82,99.85,99.72,99.74,99.72,99.79,99.79,99.82,99.82,99.82,99.74,99.69,99.64,99.67,99.54,99.49,99.64,99.59,99.77,99.87,99.87,99.9,99.67,99.77,99.74,99.69,99.72,99.67,99.49,99.56,99.46,99.23,99.18,99.28,99.67,99.41,99.33,99.13,99.41,99.51,99.38,99.49,99.38,99.28,99.28,99.2,99.28,99.31,99.18,99.26,99.43,99.46,99.33,99.1,99.1,99.15,99.23,99.31,99.49,99.46,99.46,99.46,99.41,99.43,99.43,99.36,99.38,99.36,99.49,99.54,99.54,99.59,99.54,99.51,99.64,99.61,99.59,99.46,99.46,99.33,99.26,99.26,99.23,99.1,99.1,99.23,99.18,98.46,97.89,96.66,97.38,96.69,97.64,95.27,96.56,96.17,96.38,95.15,92.04,89.39,89.16,91.04,93.01,88.77,85.41,83.35,81.97,83.12,81.61,86.95,85.08,86.64,86.26,89.65,92.91,91.75,92.81,90.24,91.09,89.21,89.93,90.8,90.5,91.29,88.36,83.25,86.05,83.79,84.23
300313.SZ,ST天山,农业综合,99.9,99.9,99.67,99.61,99.51,99.82,99.77,99.69,99.54,99.49,99.59,99.64,99.49,99.28,98.33,97.3,92.96,84.95,70.02,76.06,74.93,76.32,58.85,18.06,20.73,7.76,1.72,73.49,70.23,70.28,71.2,71.15,71.64,69.02,71.98,72.64,1.36,5.52,5.91,22.17,17.24,19.16,19.29,19.27,16.18,4.37,2.52,2.98,7.4,6.14,4.29,5.29,6.6,7.4,9.63,9.3,12.25,3.08,63.47,1.54,0.36,0.59,0.26,0.95,1.67,1.82,0.57,0.98,1.13,0.51,0.46,0.51,0.31,0.49,0.49,0.39,0.44,0.36,0.26,0.23,0.31,0.15,0.08,0.08,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.05,0.0,0.08,0.05,0.05,0.0,0.0,0.03,0.03,0.05,0.03,0.05,0.03,0.28,0.36,0.46,0.08,0.26,0.28,0.31,0.31,0.31,0.26,0.21,0.15,0.77,0.54,1.67,4.65,4.32,3.19,2.47,1.88,0.64,1.21,0.85,1.77,4.03,3.49
603025.SH,大豪科技,白酒,99.87,99.77,99.9,99.79,99.69,99.64,99.72,99.64,99.67,99.74,99.79,99.77,99.79,99.69,99.74,99.54,99.64,99.49,99.26,99.23,99.13,98.41,98.72,98.38,98.28,98.56,98.28,98.0,97.59,96.87,95.79,97.2,98.66,99.1,99.41,99.59,99.49,99.46,99.56,99.56,99.61,99.49,99.54,99.43,99.36,99.38,99.36,99.43,99.54,99.49,99.46,99.56,99.61,99.69,99.77,99.67,99.69,99.72,99.79,99.72,99.61,99.69,99.67,99.67,99.59,99.77,99.77,99.74,99.74,99.82,99.85,99.79,99.87,99.92,99.9,67.74,65.53,64.17,65.48,63.37,64.58,66.07,66.04,66.27,64.4,99.95,99.87,99.64,99.46,99.49,99.28,98.69,98.18,96.89,96.2,92.58,89.06,84.31,93.06,93.35,93.5,92.01,85.69,79.99,78.65,84.31,85.1,83.95,86.69,85.23,88.65,92.91,92.42,93.17,95.15,94.48,90.06,90.06,81.58,71.82,81.94,82.71,69.43,77.06,72.51,76.47,71.33,73.21,76.34,76.47,72.69,80.38,80.48,85.72,83.15,84.79,84.82,83.33,73.75,69.46,76.24,78.96,78.19,82.28,81.61,78.94,78.71,79.53
002759.SZ,天际股份,家用电器,99.85,99.82,99.92,99.82,99.85,99.95,99.9,99.9,99.9,99.87,99.87,99.82,99.77,99.85,99.61,99.74,99.77,99.92,99.9,99.92,99.92,99.9,99.82,99.69,99.41,99.18,99.51,99.02,99.31,98.48,98.59,98.12,97.05,95.4,92.81,91.24,92.94,93.37,92.7,88.7,86.05,86.18,87.59,84.79,75.29,66.71,49.22,49.81,44.23,46.29,29.62,30.59,42.36,60.6,63.58,43.23,42.18,53.48,70.87,69.38,85.69,84.13,73.08,75.85,83.43,79.94,83.48,86.36,84.92,92.27,96.69,97.84,98.02,97.38,96.51,95.02,96.38,96.12,98.12,98.74,98.41,98.51,99.05,99.28,99.41,99.13,98.69,99.23,99.26,99.0,98.79,97.64,97.71,97.61,97.97,98.36,97.95,98.12,97.33,97.43,98.33,98.02,98.48,98.61,97.61,96.76,97.17,96.89,98.02,98.41,97.15,96.79,95.32,92.04,92.42,93.66,95.45,95.5,94.35,94.76,94.48,96.12,94.07,95.43,94.89,93.14,93.76,95.86,94.73,93.6,95.02,96.79,96.99,95.68,97.2,96.79,96.51,96.22,95.45,95.97,95.04,94.12,96.35,96.63,96.46,95.38,95.48,96.38
601919.SH,中远海控,水运,99.82,99.67,99.64,99.56,99.49,99.41,98.92,98.54,98.9,98.84,98.36,99.08,99.13,99.41,99.36,99.56,99.72,99.64,99.61,99.18,99.08,98.79,99.02,98.3,98.92,98.43,98.64,98.48,98.25,98.82,99.54,99.49,99.49,99.46,99.28,98.92,99.08,99.13,99.0,99.26,99.46,99.46,99.59,99.64,99.72,99.69,99.74,99.61,99.64,99.56,99.61,99.61,99.59,99.43,99.49,99.56,99.43,99.54,99.67,99.67,99.69,99.61,99.56,99.49,99.41,99.15,99.41,99.41,99.43,99.59,99.51,99.26,99.0,99.02,98.61,98.66,98.61,98.72,98.97,98.77,98.97,98.92,98.66,98.61,99.1,99.02,99.28,99.43,99.61,99.61,99.56,99.64,99.54,99.49,99.46,99.46,99.31,99.43,99.28,98.92,99.08,99.2,99.08,98.43,98.51,98.54,97.59,95.99,95.27,96.02,82.76,85.72,89.21,87.95,90.52,89.44,88.59,80.07,80.22,79.37,82.12,85.36,84.77,88.7,92.14,89.26,92.76,93.71,93.4,92.32,93.5,93.12,92.68,90.55,91.96,92.76,89.62,89.88,91.19,93.42,94.35,95.32,95.25,96.61,93.91,94.84,92.47,92.6
600121.SH,郑州煤电,煤炭开采,99.79,99.79,99.69,99.87,99.67,99.59,99.61,99.38,99.41,99.67,99.28,99.33,99.41,99.49,99.41,99.43,99.59,99.38,99.28,99.38,99.54,99.82,99.92,99.95,99.97,99.97,99.95,99.95,99.92,99.97,99.97,99.92,99.92,99.92,99.82,99.77,99.92,99.87,99.9,99.59,99.69,99.77,99.79,99.77,99.9,99.92,99.77,99.85,99.74,99.69,99.77,99.77,99.69,99.77,99.74,99.69,99.61,99.61,99.56,99.59,99.46,99.46,99.46,99.56,99.61,99.64,99.56,99.61,99.56,99.38,99.2,99.18,99.28,99.05,98.56,98.43,97.07,98.23,96.33,93.81,92.11,90.21,92.24,92.35,91.24,88.8,84.72,85.74,80.84,84.9,85.02,88.88,85.72,79.19,71.46,47.57,23.12,11.05,4.55,2.11,2.57,1.46,1.28,2.31,3.54,2.72,2.95,3.29,3.03,5.29,4.47,6.81,12.12,11.41,11.61,8.99,10.87,16.88,13.82,15.0,14.9,15.62,24.69,13.1,20.14,22.4,27.74,37.53,31.9,21.4,43.51,37.02,40.46,39.04,45.24,52.32,45.52,54.05,54.56,54.46,54.97,42.36,25.28,16.88,11.94,8.89,15.75,7.81
000155.SZ,川能动力,新型电力,99.77,99.64,99.74,99.59,99.74,99.85,99.87,99.74,99.79,99.85,99.82,99.87,99.72,99.77,99.67,99.51,99.61,99.54,99.54,99.46,99.74,99.64,99.69,99.77,99.77,99.85,99.79,99.61,99.77,99.69,99.67,99.61,99.64,99.64,99.61,99.69,99.61,99.69,99.61,99.77,99.74,99.69,99.69,99.67,99.56,99.51,99.41,99.41,99.31,99.38,99.18,99.2,99.38,99.46,99.54,99.49,99.46,99.43,99.38,99.28,99.36,99.49,99.49,99.46,99.51,99.49,99.46,99.33,99.28,99.05,98.87,99.0,99.05,99.15,99.02,98.64,98.48,98.38,98.84,99.02,98.79,99.05,98.97,99.0,98.79,98.72,98.9,98.74,98.87,98.54,98.33,98.36,97.74,97.02,96.48,95.53,95.38,95.07,94.66,94.71,96.4,94.86,95.76,96.28,92.99,93.4,91.45,93.53,95.89,95.86,92.83,92.83,90.88,84.92,89.44,87.7,89.47,85.13,84.69,70.25,70.33,80.76,81.04,84.48,74.44,76.68,86.26,92.37,89.7,87.54,90.44,89.67,94.53,92.17,94.09,95.63,96.61,97.77,97.89,98.41,98.33,98.36,98.77,98.48,98.74,98.66,98.69,98.43
601633.SH,长城汽车,汽车整车,99.74,99.74,99.79,99.77,99.82,99.61,99.67,99.72,99.82,99.77,99.85,99.85,99.82,99.74,99.59,99.59,99.51,99.46,99.43,99.36,99.31,98.92,99.0,98.82,99.0,98.92,98.69,98.2,97.66,97.71,98.0,97.77,96.56,95.89,95.99,96.74,97.28,98.23,97.69,97.56,96.87,97.97,97.84,97.89,95.61,92.4,92.81,92.73,93.71,93.4,89.37,91.99,94.17,92.83,94.37,94.07,91.86,91.96,92.6,92.14,91.14,86.8,83.84,79.37,83.02,84.25,89.29,85.56,84.74,92.11,89.88,92.32,92.94,90.65,89.39,92.24,91.34,91.32,90.98,89.52,90.34,93.3,93.81,94.5,94.19,94.73,95.32,96.81,96.92,95.76,93.3,93.17,95.38,93.84,91.34,92.27,88.67,87.64,87.05,82.64,83.79,76.29,74.65,80.25,82.07,81.84,66.61,72.51,54.02,38.35,23.91,38.66,51.94,65.27,70.02,77.75,79.01,86.13,78.32,73.54,78.94,84.02,85.74,89.44,81.02,84.48,87.54,87.77,82.76,79.63,74.44,83.33,83.48,87.46,90.55,91.47,93.86,94.68,95.07,94.5,94.81,94.45,94.89,96.46,95.89,95.5,95.2,95.02
