,NAME,INDUSTRY,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03
002176.SZ,江特电机,电气设备,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,60.62,60.85,61.67,62.19,61.39,99.97,99.97,99.97,99.97,99.97
002192.SZ,融捷股份,小金属,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.97,99.97,99.97,99.95,99.95,99.95,99.95,99.95,99.95,99.95
300712.SZ,永福股份,建筑工程,99.92,99.87,99.82,99.67,99.54,99.18,99.26,99.38,99.56,99.31,99.26,99.02,99.05,98.92,98.82,98.59,98.56,98.51
300343.SZ,联创股份,化工原料,99.9,99.92,99.92,99.92,99.9,99.92,99.92,99.92,99.95,99.92,99.87,99.85,99.79,99.82,99.79,99.82,99.79,99.85
300274.SZ,阳光电源,电气设备,99.87,99.9,99.9,99.9,99.92,99.87,99.77,99.87,99.9,99.87,99.92,99.9,99.87,99.92,99.9,99.77,99.77,99.77
601127.SH,小康股份,汽车配件,99.85,99.85,99.87,99.85,99.79,99.79,99.74,99.82,99.87,99.9,99.9,99.92,99.97,99.9,99.92,99.92,99.9,99.92
002280.SZ,联络互动,软件服务,99.82,99.74,99.72,99.69,99.74,99.72,99.72,99.72,99.72,99.69,99.69,99.69,99.61,99.54,99.51,99.49,99.41,99.51
603026.SH,石大胜华,化工原料,99.79,99.77,99.74,99.79,99.85,99.9,99.85,99.9,99.92,99.95,99.95,99.97,99.92,99.87,99.82,99.85,99.82,99.79
603486.SH,科沃斯,家用电器,99.77,99.72,99.69,99.74,99.64,99.67,99.59,99.54,99.46,99.43,99.43,99.36,99.38,99.13,98.84,98.95,98.97,99.05
600702.SH,舍得酒业,白酒,99.74,99.79,99.79,99.87,99.82,99.82,99.79,99.74,99.74,99.74,99.72,99.67,99.67,99.67,99.59,99.67,99.56,99.61
002759.SZ,天际股份,家用电器,99.72,99.82,99.85,99.77,99.77,99.74,99.82,99.79,99.79,99.85,99.74,99.72,99.74,99.72,99.72,99.64,99.59,99.56
000980.SZ,*ST众泰,汽车配件,99.69,99.69,99.77,99.82,99.87,99.85,99.9,99.85,99.82,99.79,99.79,99.79,99.77,99.69,99.67,99.72,99.69,99.69
603098.SH,森特股份,装修装饰,99.67,99.59,99.56,99.56,99.59,99.51,99.41,99.36,99.33,99.36,99.33,99.43,99.18,99.26,99.18,99.23,99.26,99.41
002356.SZ,*ST赫美,其他商业,99.64,99.36,99.54,99.43,99.46,99.43,99.46,99.46,99.36,99.33,99.18,99.13,99.15,98.79,98.66,98.92,99.08,99.23
002455.SZ,百川股份,化工原料,99.61,99.67,99.38,99.61,99.49,99.41,99.33,99.33,99.54,99.23,99.23,99.33,99.0,98.72,98.56,98.51,98.48,98.23
