,NAME,INDUSTRY,LIST_DATE,2021-11-29,2021-11-30,2021-12-01,2021-12-02
301089.SZ,拓新药业,化学制药,20211027,99.98,99.98,99.96,99.96
002432.SZ,九安医疗,医疗保健,20100610,99.96,99.96,99.98,99.98
688533.SH,上声电子,汽车配件,20210419,99.93,99.93,99.91,99.83
688022.SH,瀚川智能,专用机械,20190722,99.91,99.91,99.78,99.87
603917.SH,合力科技,汽车配件,20171204,99.89,99.89,99.87,99.76
300364.SZ,中文在线,出版业,20150121,99.87,99.74,99.89,99.5
300264.SZ,佳创视讯,通信设备,20110916,99.85,99.76,99.43,96.25
002885.SZ,京泉华,元器件,20170627,99.83,99.87,99.85,99.7
301022.SZ,海泰科,专用机械,20210702,99.8,99.41,98.98,99.26
605333.SH,沪光股份,汽车配件,20200818,99.78,99.72,99.76,99.48
301072.SZ,中捷精工,汽车配件,20210929,99.76,99.85,99.93,99.93
300745.SZ,欣锐科技,汽车配件,20180523,99.74,99.83,99.65,98.76
688195.SH,腾景科技,元器件,20210326,99.72,99.7,99.54,99.52
688589.SH,力合微,半导体,20200722,99.7,99.52,99.46,99.56
300224.SZ,正海磁材,元器件,20110531,99.67,99.61,99.61,99.46
300438.SZ,鹏辉能源,电气设备,20150424,99.65,99.39,98.52,98.95
300507.SZ,苏奥传感,汽车配件,20160429,99.63,99.65,99.67,99.15
688077.SH,大地熊,元器件,20200722,99.61,99.56,99.52,99.74
603197.SH,保隆科技,汽车配件,20170519,99.59,99.48,99.37,99.24
002006.SZ,精功科技,专用机械,20040625,99.56,99.59,99.8,99.65
000795.SZ,英洛华,矿物制品,19970808,99.54,99.67,99.7,99.59
300741.SZ,华宝股份,食品,20180301,99.52,99.13,99.06,98.32
301012.SZ,扬电科技,电气设备,20210622,99.5,98.74,98.43,99.11
300199.SZ,翰宇药业,化学制药,20110407,99.48,99.06,98.63,98.34
301060.SZ,兰卫医学,医疗保健,20210913,99.46,99.78,99.39,99.67
688597.SH,煜邦电力,电器仪表,20210617,99.43,99.8,99.83,99.85
300065.SZ,海兰信,船舶,20100326,99.41,99.54,99.11,99.06
300907.SZ,康平科技,电气设备,20201118,99.39,99.24,98.78,99.54
300945.SZ,曼卡龙,服饰,20210210,99.37,99.22,99.22,99.28
300619.SZ,金银河,专用机械,20170301,99.35,99.15,99.0,98.39
603297.SH,永新光学,电器仪表,20180910,99.32,99.11,99.24,98.71
300081.SZ,恒信东方,文教休闲,20100520,99.3,99.28,99.13,97.65
003043.SZ,华亚智能,专用机械,20210406,99.28,98.17,93.81,86.8
301065.SZ,本立科技,化工原料,20210914,99.26,99.19,97.63,97.43
603192.SH,汇得科技,化工原料,20180828,99.24,99.46,99.59,99.61
603319.SH,湘油泵,汽车配件,20161130,99.22,98.98,99.04,98.98
300220.SZ,金运激光,元器件,20110525,99.19,99.35,98.93,97.28
688056.SH,莱伯泰科,电器仪表,20200902,99.17,98.5,98.04,98.04
300831.SZ,派瑞股份,元器件,20200507,99.15,98.63,98.71,98.26
688071.SH,华依科技,专用机械,20210729,99.13,99.32,99.35,98.8
300360.SZ,炬华科技,电器仪表,20140121,99.11,99.0,98.54,98.69
002011.SZ,盾安环境,家用电器,20040705,99.09,99.63,99.74,99.78
600854.SH,春兰股份,家用电器,19940425,99.06,98.43,99.28,99.72
300928.SZ,华安鑫创,汽车配件,20210106,99.04,98.19,98.08,97.47
300435.SZ,中泰股份,供气供热,20150326,99.02,98.95,99.3,98.56
002210.SZ,*ST飞马,仓储物流,20080130,99.0,99.17,18.43,98.43
000812.SZ,陕西金叶,广告包装,19980623,98.98,99.26,99.63,99.89
300204.SZ,舒泰神,生物制药,20110415,98.95,98.54,94.58,95.73
002865.SZ,钧达股份,汽车配件,20170425,98.93,98.61,99.32,98.41
603286.SH,日盈电子,汽车配件,20170627,98.91,98.32,98.26,97.87
002095.SZ,生意宝,互联网,20061215,98.89,98.37,98.21,98.21
300943.SZ,春晖智控,机械基件,20210210,98.87,99.5,99.41,99.41
605133.SH,嵘泰股份,汽车配件,20210224,98.85,99.43,99.72,99.8
600522.SH,中天科技,通信设备,20021024,98.82,98.06,94.51,79.76
300998.SZ,宁波方正,专用机械,20210602,98.8,98.82,98.74,99.32
300093.SZ,金刚玻璃,玻璃,20100708,98.78,98.69,98.95,98.78
688100.SH,威胜信息,通信设备,20200121,98.76,98.65,97.93,98.24
002937.SZ,兴瑞科技,元器件,20180926,98.74,98.08,98.15,97.45
301080.SZ,百普赛斯,医疗保健,20211018,98.71,97.08,94.1,94.99
600078.SH,*ST澄星,化工原料,19970627,98.69,97.71,97.78,98.87
600215.SH,长春经开,园区开发,19990909,98.67,97.32,98.3,98.54
300893.SZ,松原股份,汽车配件,20200924,98.65,99.09,98.0,99.13
000838.SZ,财信发展,区域地产,19970626,98.63,99.3,99.48,99.19
688529.SH,豪森股份,汽车配件,20201109,98.61,98.41,98.76,98.91
603229.SH,奥翔药业,化学制药,20170509,98.58,98.24,98.48,96.99
600318.SH,新力金融,多元金融,20001208,98.56,99.37,99.17,99.3
300127.SZ,银河磁体,元器件,20101013,98.54,95.53,94.88,97.63
603178.SH,圣龙股份,汽车配件,20170328,98.52,98.21,98.65,96.41
002667.SZ,鞍重股份,工程机械,20120329,98.5,96.01,98.61,98.67
600366.SH,宁波韵升,矿物制品,20001030,98.48,98.8,98.5,98.17
300500.SZ,启迪设计,建筑工程,20160204,98.45,98.93,98.58,96.78
688772.SH,珠海冠宇,电气设备,20211015,98.43,97.8,96.51,94.95
301075.SZ,多瑞医药,化学制药,20210929,98.41,98.76,96.8,95.91
000400.SZ,许继电气,电气设备,19970418,98.39,98.02,97.82,97.91
688639.SH,华恒生物,化学制药,20210422,98.37,98.89,98.37,97.89
603351.SH,威尔药业,化学制药,20190130,98.34,98.39,97.87,97.95
002300.SZ,太阳电缆,电气设备,20091021,98.32,96.93,94.6,91.51
603333.SH,尚纬股份,电气设备,20120507,98.3,94.12,89.24,90.94
301081.SZ,严牌股份,环境保护,20211020,98.28,96.97,96.84,97.36
300095.SZ,华伍股份,机械基件,20100728,98.26,94.6,94.64,84.62
603429.SH,集友股份,广告包装,20170124,98.24,96.8,95.88,95.62
002752.SZ,昇兴股份,广告包装,20150422,98.21,98.45,98.13,98.45
002026.SZ,山东威达,机械基件,20040727,98.19,98.48,98.1,95.93
300920.SZ,润阳科技,塑料,20201225,98.17,97.56,96.49,96.23
002317.SZ,众生药业,中成药,20091211,98.15,97.6,95.8,93.9
603165.SH,荣晟环保,造纸,20170117,98.13,97.78,97.06,96.91
688676.SH,金盘科技,电气设备,20210309,98.1,98.71,99.5,96.82
688345.SH,博力威,电气设备,20210611,98.08,98.87,98.89,98.85
300118.SZ,东方日升,电气设备,20100902,98.06,98.0,96.04,89.96
605166.SH,聚合顺,化工原料,20200618,98.04,98.85,99.15,98.65
605116.SH,奥锐特,化学制药,20200921,98.02,99.02,97.73,95.95
300061.SZ,旗天科技,互联网,20100319,98.0,99.04,99.19,99.09
300799.SZ,左江科技,软件服务,20191029,97.97,97.87,98.91,98.06
688689.SH,银河微电,元器件,20210127,97.95,97.91,97.76,97.39
603982.SH,泉峰汽车,汽车配件,20190522,97.93,98.67,97.28,95.38
002139.SZ,拓邦股份,元器件,20070629,97.91,96.75,94.97,93.64
605005.SH,合兴股份,汽车配件,20210119,97.89,94.25,87.91,80.2
000657.SZ,中钨高新,小金属,19961205,97.87,95.25,95.3,93.4
300134.SZ,大富科技,通信设备,20101026,97.84,96.73,97.32,97.56
002879.SZ,长缆科技,电气设备,20170707,97.82,97.97,97.69,94.47
300926.SZ,博俊科技,汽车配件,20210107,97.8,98.26,98.28,96.36
000420.SZ,吉林化纤,化纤,19960802,97.78,98.15,98.32,96.62
300987.SZ,川网传媒,互联网,20210511,97.76,97.95,98.45,97.69
300617.SZ,安靠智电,电气设备,20170228,97.73,97.76,97.56,95.12
300552.SZ,万集科技,软件服务,20161021,97.71,97.15,96.56,96.45
300261.SZ,雅本化学,农药化肥,20110906,97.69,97.89,96.45,94.38
002284.SZ,亚太股份,汽车配件,20090828,97.67,97.63,98.24,98.37
688123.SH,聚辰股份,半导体,20191223,97.65,97.93,97.91,97.93
600212.SH,江泉实业,综合类,19990817,97.63,97.28,96.99,97.3
605123.SH,派克新材,航空,20200825,97.6,98.34,98.34,96.3
300776.SZ,帝尔激光,专用机械,20190517,97.58,96.19,96.06,91.03
688611.SH,杭州柯林,电气设备,20210412,97.56,97.21,96.1,94.1
300681.SZ,英搏尔,汽车配件,20170725,97.54,96.86,93.16,86.89
002191.SZ,劲嘉股份,广告包装,20071205,97.52,94.1,96.34,88.61
600860.SH,京城股份,专用机械,19940506,97.5,97.73,98.82,99.43
002870.SZ,香山股份,汽车配件,20170515,97.47,92.49,62.99,9.93
300828.SZ,锐新科技,铝,20200421,97.45,95.06,92.86,92.31
688600.SH,皖仪科技,电器仪表,20200703,97.43,95.99,98.06,98.19
603595.SH,东尼电子,元器件,20170712,97.41,98.04,97.41,97.78
600856.SH,*ST中天,供气供热,19940425,97.39,97.17,97.36,23.24
300351.SZ,永贵电器,运输设备,20120920,97.36,98.28,98.8,99.22
002309.SZ,中利集团,电气设备,20091127,97.34,96.71,96.95,95.47
300718.SZ,长盛轴承,机械基件,20171106,97.32,95.91,95.73,87.45
688191.SH,智洋创新,软件服务,20210408,97.3,96.82,96.69,93.84
300994.SZ,久祺股份,文教休闲,20210812,97.28,97.23,96.32,95.06
002645.SZ,华宏科技,专用机械,20111220,97.26,97.26,94.25,95.97
688787.SH,海天瑞声,软件服务,20210813,97.23,97.02,96.36,95.14
600237.SH,铜峰电子,元器件,20000609,97.21,98.13,97.65,98.28
688356.SH,键凯科技,化学制药,20200826,97.19,95.23,91.9,94.01
301069.SZ,凯盛新材,化工原料,20210927,97.17,95.58,90.15,74.99
688330.SH,宏力达,电气设备,20201015,97.15,96.65,96.17,96.69
002464.SZ,*ST众应,互联网,20100831,97.12,98.52,98.56,98.3
000546.SZ,金圆股份,环境保护,19931215,97.1,98.91,99.02,99.02
688127.SH,蓝特光学,元器件,20200921,97.08,97.39,97.19,95.34
301007.SZ,德迈仕,汽车配件,20210616,97.06,97.69,96.25,91.29
688179.SH,阿拉丁,化学制药,20201026,97.04,96.23,95.95,89.44
600260.SH,ST凯乐,通信设备,20000706,97.02,94.36,97.3,98.58
002923.SZ,润都股份,化学制药,20180105,96.99,91.57,75.34,20.32
688060.SH,云涌科技,软件服务,20200710,96.97,98.1,97.43,96.93
603331.SH,百达精工,专用机械,20170705,96.95,97.65,98.02,98.02
603997.SH,继峰股份,汽车配件,20150302,96.93,97.58,97.95,98.61
688800.SH,瑞可达,元器件,20210722,96.91,97.84,97.1,93.18
600456.SH,宝钛股份,小金属,20020412,96.89,96.1,94.27,92.38
688187.SH,时代电气,运输设备,20210907,96.86,95.67,92.31,93.79
688217.SH,睿昂基因,医疗保健,20210517,96.84,95.27,94.01,94.03
002056.SZ,横店东磁,元器件,20060802,96.82,96.47,96.6,96.54
688280.SH,精进电动-UW,汽车配件,20211027,96.8,91.9,85.36,64.28
300659.SZ,中孚信息,软件服务,20170526,96.78,97.3,96.82,94.62
688678.SH,福立旺,元器件,20201223,96.75,90.05,91.18,71.2
000861.SZ,海印股份,其他商业,19981028,96.73,97.34,98.17,98.5
603786.SH,科博达,汽车配件,20191015,96.71,91.16,84.99,92.88
