,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15
煤炭开采,4.48,6.26,6.26,6.26,5.33,3.7,5.33,5.33,5.33,6.26,6.26,7.26,5.33,3.0,1.33,4.48,3.0,0.93,0.15,0.59,1.33,0.15,,0.33,0.33,0.93,,,,,0.04,,,,,,,,,,,,,,
矿物制品,1.32,0.84,1.32,0.84,0.84,1.32,0.84,1.32,1.32,1.89,1.32,1.32,0.47,0.21,0.05,0.05,0.05,0.05,0.21,0.21,0.05,0.05,0.21,0.47,1.32,0.84,0.84,0.84,0.21,0.47,0.21,0.05,0.05,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.05,0.05
空运,1.12,0.5,0.5,0.12,1.12,0.5,0.12,,,,,,,,,,,,,0.12,,0.5,3.12,3.12,0.12,0.12,0.5,2.0,2.0,1.12,0.5,0.5,3.12,2.0,0.5,0.5,0.5,0.12,0.12,0.12,,,,,
电气设备,1.08,1.08,1.23,0.81,0.69,1.08,1.56,2.33,2.54,1.56,1.39,1.39,1.39,1.56,1.08,0.94,0.58,1.08,0.69,0.31,0.48,1.56,1.39,2.33,2.54,2.54,3.25,2.12,1.08,3.25,2.77,3.25,4.62,4.33,3.0,3.5,2.33,3.0,4.04,5.24,5.56,3.25,2.54,2.12,0.69
化工原料,0.91,0.65,1.56,1.38,1.38,1.56,1.75,2.38,2.38,1.75,2.16,1.95,1.06,0.91,0.35,0.26,0.09,0.19,0.19,0.09,0.09,0.14,0.09,0.19,0.26,0.19,0.35,0.26,0.14,0.35,0.26,0.44,0.44,0.35,0.44,0.54,0.54,0.35,0.44,0.35,0.54,0.26,0.44,0.19,0.05
特种钢,0.82,1.45,3.27,2.27,2.27,3.27,2.27,1.45,1.45,2.27,1.45,0.82,0.82,0.36,0.36,0.36,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,,0.09,0.36,1.45,1.45,1.45,0.82,0.82,0.09
小金属,0.69,0.69,1.0,1.0,1.36,1.36,1.78,1.36,1.36,0.44,0.25,0.25,0.25,0.44,0.11,0.03,0.03,0.03,0.03,,,,,,0.03,0.03,,0.03,0.03,0.03,0.11,0.11,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.44,0.69,0.03,0.03,0.03,0.03
农药化肥,0.61,0.22,0.61,0.61,0.88,0.88,0.88,0.88,1.98,1.2,1.56,1.56,1.2,0.61,0.61,0.61,0.22,0.22,0.22,0.22,0.1,0.1,0.02,0.02,0.02,0.02,,0.02,0.02,,,,,,0.02,0.02,0.1,0.02,0.22,0.22,0.1,0.22,0.22,0.1,0.1
铝,0.52,0.52,0.81,0.52,0.52,0.52,0.52,0.81,0.52,0.81,0.52,0.81,0.52,0.13,,0.03,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
白酒,0.45,0.45,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.2,0.2,2.45,2.45,2.45,2.45,1.8,3.2,6.05,6.05,5.0,5.0,0.45,0.45,0.8,1.8,5.0,3.2,1.8,2.45,3.2,1.8,0.45,0.05,0.05,0.2,0.2,0.2,0.05,,0.05,,0.2
酒店餐饮,0.44,0.11,0.11,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.11,0.11,0.44,0.44,0.44,0.11,0.11,,0.11,,0.11,0.44,,,,0.11
橡胶,0.4,0.4,0.4,0.1,,,,0.1,0.1,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,
普钢,0.39,1.09,1.57,0.7,1.57,1.09,1.57,1.57,0.39,1.09,0.04,0.17,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
机械基件,0.37,0.24,0.54,0.37,0.24,0.37,0.37,0.54,0.96,0.37,0.54,0.37,0.13,0.24,0.37,0.24,0.13,0.24,0.24,0.13,0.06,0.06,0.24,0.37,0.24,0.13,0.06,0.06,0.06,0.24,0.24,0.13,0.13,0.13,0.13,0.13,0.24,0.24,0.24,0.37,0.37,0.37,0.54,0.24,0.06
船舶,0.36,0.36,0.36,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,0.09
专用机械,0.34,0.25,0.25,0.11,0.06,0.25,0.11,0.06,0.06,0.01,0.01,0.01,0.01,0.06,,,,0.01,0.01,0.03,0.01,0.01,0.03,0.56,1.36,0.56,1.36,0.56,0.34,0.84,1.17,1.17,1.36,1.17,1.78,2.25,2.01,1.0,2.25,2.51,2.78,3.06,2.01,1.0,0.84
证券,0.34,0.34,0.53,0.34,0.34,0.34,0.34,0.34,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.19,0.09,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
新型电力,0.27,0.27,0.27,0.27,0.07,0.07,0.6,0.07,0.27,0.07,0.27,0.6,0.6,0.6,0.27,0.27,0.27,0.27,0.27,0.27,0.07,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,0.07,0.07,,0.07,
机场,0.25,,0.25,,,0.25,,,,,,,,,,,0.25,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,,
仓储物流,0.23,0.1,0.4,0.23,0.23,0.23,0.23,0.23,0.23,0.1,0.1,0.1,0.1,0.1,0.23,0.23,0.1,0.1,0.23,0.1,0.1,0.1,0.23,0.1,0.1,0.1,0.23,0.23,0.23,0.23,0.1,0.1,0.23,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.03,0.1,0.03
石油开采,0.21,0.21,0.21,0.21,0.47,0.47,0.21,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.21,,,,,,,,,,,,,,,,,,,,,,,,
玻璃,0.19,0.05,0.19,0.19,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.19,0.05,0.19,0.19,0.19,0.19,0.19,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
环境保护,0.18,0.1,0.05,0.05,0.1,0.05,0.01,0.01,0.01,0.01,0.05,0.05,0.28,0.1,0.18,0.28,0.18,0.1,0.05,0.01,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,0.05,0.05,0.01,0.01,0.01
建筑工程,0.18,0.28,0.28,0.28,0.41,0.28,0.18,0.18,0.1,0.28,0.18,0.18,0.18,0.1,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,0.01,0.01,0.01,,,,0.01,0.01,0.01,,,,,,,
化纤,0.14,0.32,0.32,0.57,0.57,0.32,0.32,0.57,0.32,0.89,0.57,0.57,0.32,0.14,0.14,0.04,0.14,0.14,0.04,0.04,0.04,,,,0.04,0.04,0.04,0.04,,,,,,,0.04,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04
摩托车,0.14,,,,,,0.14,0.14,0.14,,,,,,,,,,0.14,0.14,0.14,0.14,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.14,0.14,0.14,0.14,0.14,0.14,0.57,0.14,0.14,0.14,0.14,0.14,0.14,,0.14
软件服务,0.12,0.12,0.12,0.08,0.04,0.08,0.08,0.12,0.04,0.08,0.08,0.04,0.04,0.08,0.17,0.17,0.3,0.3,0.38,0.17,0.12,0.08,0.08,0.23,0.17,0.12,0.3,0.23,0.38,0.23,0.38,0.38,0.23,0.23,0.23,0.23,0.12,0.12,0.17,0.23,0.23,0.23,0.12,0.17,0.3
软饮料,0.12,0.12,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
