,NAME,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22
BK0728,环保工程,99.73,99.19,99.46,99.46,99.46,99.19,98.38,98.65,97.57,97.3,97.3,96.23,93.26,96.77,98.11,98.38,99.46,98.65,97.84,91.64,7.82,90.03,61.19,14.56,0.27,0.81,0.0,1.35,1.08,5.39,42.59,1.62,7.55,20.22,15.9,2.43,7.28,7.82,3.5,1.35,1.08,1.62,5.93,9.43,10.78,11.05,18.33,12.13,21.29,70.89,61.19,63.07,85.71,74.12,63.34,79.51,52.83,74.12,67.39,6.74,21.56,21.29,16.98,39.08,20.22,14.29,25.34,21.83,14.56,44.74,34.77,30.73,17.25,14.29,23.72,40.16,40.97,52.83,50.4,20.75,22.37,26.42,23.18,21.56,23.45,18.6,23.18,29.92,67.12,53.37,75.47,86.79,76.82,72.24,65.5,42.05,37.47,30.19,8.89,41.51,18.6,12.4,17.52,24.26,42.05,31.0,28.03,29.38,35.31,19.95,30.19,52.56,56.6,57.41,71.43,81.4,83.02,76.28,61.73,49.87,55.8,53.37,56.33,46.63,22.37,64.69,49.06,67.12,74.12,75.2,58.22,59.03,69.54,61.99,87.06,23.99,49.33,31.27,54.72,71.97
BK0578,稀土永磁,99.46,98.92,98.92,98.11,78.98,35.85,76.55,97.3,94.61,73.58,53.1,16.44,2.43,28.84,27.49,7.01,3.23,1.89,2.16,1.08,3.23,1.62,2.43,0.54,1.35,46.63,73.05,77.09,22.64,21.29,7.82,41.78,35.04,71.16,77.36,46.09,35.85,27.49,58.76,61.73,64.69,52.83,63.07,69.0,74.93,91.64,78.98,75.74,52.56,63.34,68.19,77.9,87.87,31.81,17.52,2.43,15.36,19.95,52.29,63.61,81.67,68.73,63.07,88.41,86.25,84.37,76.55,61.46,59.03,44.47,13.75,8.63,12.4,16.17,20.22,28.84,51.21,63.07,70.62,74.93,91.11,92.18,82.48,97.3,98.38,98.11,98.65,98.11,98.92,98.11,98.11,97.04,98.65,95.69,91.91,94.34,92.45,94.88,90.84,94.34,92.72,96.23,93.53,96.23,95.69,89.49,92.45,77.09,91.11,80.59,91.91,93.26,86.52,71.97,58.76,91.11,61.73,70.62,26.68,70.62,75.2,69.27,71.7,83.02,94.61,94.88,87.6,87.6,71.16,47.17,55.53,38.01,26.68,21.83,23.99,16.17,78.71,26.15,32.35,39.89
BK0946,EDA概念,99.19,95.42,84.37,81.13,75.2,26.42,3.77,3.5,0.81,1.35,4.04,6.47,14.02,19.41,18.6,63.07,49.87,21.83,24.26,72.78,72.51,37.74,82.75,94.07,94.61,85.71,80.05,70.62,43.94,21.02,43.94,61.99,24.8,2.7,1.89,11.32,18.6,16.44,68.19,64.69,58.22,63.88,81.94,85.71,86.25,80.59,86.25,78.71,77.09,83.29,86.52,71.97,42.86,28.03,17.79,68.73,33.15,60.65,48.79,19.14,18.87,45.28,27.22,66.85,60.38,47.17,57.14,58.49,54.72,53.91,63.07,63.61,89.49,95.15,98.11,99.19,98.92,98.65,98.65,97.84,94.88,90.57,54.45,11.86,2.96,14.29,25.61,31.81,54.99,49.6,59.57,45.01,68.73,85.98,68.19,19.95,18.6,43.67,69.54,73.85,88.41,83.83,87.06,72.78,81.67,68.19,73.58,73.05,59.57,37.74,34.23,57.68,22.1,12.94,5.93,19.41,10.78,3.23,23.45,31.27,33.15,29.38,60.65,56.87,58.22,74.93,87.87,71.43,34.23,29.11,24.8,28.57,10.51,35.31,21.29,11.86,3.77,4.58,8.09,14.29
BK0966,碳交易,98.92,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.46,99.46,99.73,99.73,99.73,99.19,98.38,97.84,78.44,96.23,85.44,35.31,4.85,18.06,0.54,16.44,15.36,0.81,4.85,0.81,4.31,23.45,6.47,0.54,1.89,2.16,1.35,1.89,2.96,5.66,10.24,19.95,21.29,52.29,66.31,52.83,57.95,82.75,81.67,87.87,97.57,94.07,95.42,96.23,88.95,96.77,97.3,95.69,97.3,88.41,85.44,76.28,34.23,22.37,31.54,12.13,11.59,26.42,13.48,14.82,13.75,18.06,31.0,47.44,58.76,66.58,76.55,43.94,46.9,49.33,41.51,45.82,29.11,35.85,21.29,31.27,46.9,43.67,81.67,90.3,87.06,83.02,80.59,68.46,66.58,62.8,37.47,59.3,17.52,6.74,12.13,19.41,40.7,26.95,32.88,24.26,35.58,26.42,40.7,76.28,77.36,77.63,79.25,78.17,77.36,80.59,78.44,79.51,84.91,71.97,71.43,63.07,62.53,78.71,77.9,90.84,93.26,91.64,89.76,92.45,92.99,92.72,91.91,90.3,92.18,79.78,82.48,89.76
BK0834,乡村振兴,98.65,98.65,98.65,95.42,78.44,69.81,69.27,73.32,45.01,50.67,52.56,44.74,24.8,31.54,48.25,59.84,75.47,68.19,55.8,32.61,19.95,5.93,7.82,7.28,5.93,5.66,2.96,4.85,7.28,16.44,14.82,9.16,16.44,26.42,16.44,13.75,11.59,12.67,8.63,5.39,11.05,16.98,21.56,37.74,53.1,56.33,61.46,70.89,74.12,73.05,65.23,62.53,66.85,29.38,25.61,30.19,27.22,21.56,14.02,10.24,15.9,29.92,48.52,54.18,43.94,31.54,41.78,38.27,40.43,46.36,52.56,49.87,28.84,35.31,38.81,53.91,49.06,53.37,68.19,61.99,65.77,40.97,53.91,62.8,55.53,52.29,39.35,42.32,42.05,37.47,37.47,46.9,48.79,44.74,58.22,35.58,37.2,31.81,47.17,55.26,45.01,30.19,43.4,41.24,40.43,43.67,50.67,62.53,50.4,49.87,61.19,76.01,69.81,79.78,82.21,76.82,77.09,49.87,48.52,33.42,39.08,29.92,41.78,26.68,28.84,31.54,35.58,50.4,61.73,59.3,54.99,65.5,70.35,70.62,72.78,68.19,78.17,88.41,83.56,77.63
BK0907,转基因,98.38,93.8,39.08,10.51,1.35,2.43,0.81,0.81,0.0,0.27,0.27,0.54,0.81,0.54,5.39,23.99,19.68,19.14,10.51,24.26,37.2,1.35,3.77,3.5,1.62,0.27,1.35,0.0,0.27,4.85,1.08,2.16,1.08,2.43,1.62,3.5,3.77,38.81,40.43,5.93,10.24,5.39,38.81,70.08,74.39,73.32,69.54,83.29,71.7,70.62,91.91,92.18,75.74,20.75,19.14,10.24,6.74,1.08,3.23,2.16,0.81,8.63,39.62,15.36,35.31,27.76,49.06,38.81,23.18,39.89,49.33,31.81,5.12,5.66,0.27,4.58,2.96,4.31,6.2,8.63,5.93,2.96,16.71,47.98,92.45,94.88,93.26,94.34,94.07,90.03,90.84,94.07,90.3,87.06,94.07,71.97,74.12,69.0,86.52,91.91,94.88,91.91,93.8,93.53,87.87,98.11,97.3,98.65,97.3,92.72,82.21,88.95,84.1,94.61,75.2,22.1,34.5,4.04,6.74,11.05,13.21,23.99,8.09,0.27,29.65,71.16,48.79,69.81,89.22,79.51,72.24,76.28,90.03,91.11,88.41,84.1,94.34,97.57,91.91,90.84
BK0820,壳资源,98.11,98.38,98.38,98.65,97.57,93.8,83.29,87.6,78.44,69.54,81.4,83.83,78.98,64.15,70.35,79.25,88.68,90.03,81.4,79.51,52.02,59.84,57.14,50.13,68.46,69.0,37.47,42.05,69.0,47.44,68.73,68.19,81.13,77.09,64.15,60.38,73.85,63.07,37.74,44.74,32.35,24.53,22.37,29.11,47.17,55.53,50.67,63.34,76.28,80.32,62.26,65.23,60.38,51.48,32.61,37.2,36.66,42.32,22.1,32.35,75.74,80.05,88.68,93.8,89.22,83.83,89.76,90.3,87.33,90.84,84.1,82.48,71.43,63.34,61.19,61.46,48.79,38.54,33.69,26.15,29.65,30.46,35.31,52.02,69.81,69.81,68.73,65.23,72.24,67.92,69.0,77.09,63.07,53.91,46.9,49.33,53.64,48.79,39.08,59.57,51.21,36.66,50.4,45.82,45.01,35.31,25.88,30.46,44.74,36.93,59.84,70.35,72.78,76.55,85.98,77.09,81.13,89.76,90.3,84.91,80.32,79.25,82.48,77.9,75.74,74.66,66.31,62.26,60.92,48.52,46.09,56.06,37.74,43.13,43.94,56.6,73.85,78.98,79.51,79.51
BK0873,垃圾分类,97.84,96.5,97.57,96.77,96.23,93.53,92.99,96.5,94.34,93.53,94.61,96.5,95.96,97.3,97.04,97.3,97.84,96.5,89.22,79.25,20.49,69.27,44.74,15.09,5.12,15.09,3.5,19.95,10.51,12.94,24.53,7.82,15.63,21.02,12.94,8.36,8.36,12.4,14.29,9.43,15.36,15.63,30.19,33.15,36.12,28.3,38.01,30.73,27.76,55.8,39.35,35.58,42.59,43.94,39.89,56.87,36.93,57.95,66.31,29.65,30.73,41.24,37.74,47.17,33.96,25.88,43.4,34.5,27.22,34.5,36.39,34.77,29.11,25.88,33.42,43.13,41.51,54.99,65.77,42.59,51.21,42.05,49.6,59.03,57.95,54.45,49.33,40.43,51.75,54.18,66.85,79.51,73.58,72.51,73.85,64.42,59.57,47.98,25.88,50.4,30.46,20.49,24.53,30.73,39.35,32.08,34.5,36.66,50.67,39.62,52.83,71.7,74.39,74.12,84.91,85.44,87.87,88.68,86.52,79.78,83.02,75.74,74.93,69.54,56.6,68.19,57.41,70.35,74.93,66.04,57.41,58.22,62.26,56.87,64.69,39.08,71.16,51.48,54.45,74.39
BK0731,化肥行业,97.57,96.23,84.1,44.2,19.41,5.12,7.55,9.97,22.37,37.74,45.01,26.42,68.73,80.32,79.51,61.73,29.38,22.37,11.86,7.55,11.59,21.02,18.33,32.88,57.41,92.99,93.26,92.45,90.3,47.17,40.16,58.22,23.72,18.6,12.13,9.16,6.2,7.01,35.04,43.94,60.65,37.74,64.15,87.06,94.88,95.69,92.72,96.23,96.5,97.3,91.64,91.91,89.22,57.68,15.9,9.7,34.77,18.6,27.76,40.43,56.33,69.81,90.03,96.5,95.15,97.3,97.04,98.11,97.57,98.92,98.92,98.11,83.29,64.15,61.73,42.59,46.9,9.43,29.38,26.95,28.84,33.15,36.39,66.85,81.67,89.22,93.8,92.99,95.15,96.77,96.5,98.65,97.3,99.19,99.19,98.38,97.3,97.84,97.04,92.18,80.32,60.65,59.57,14.29,23.99,8.36,9.97,2.7,4.31,3.23,18.33,50.13,59.03,94.07,97.04,96.5,97.84,98.92,98.65,98.92,99.46,99.46,99.46,99.19,99.19,99.46,99.46,99.19,99.19,98.65,98.11,99.19,98.11,98.38,99.19,98.11,99.73,99.73,99.73,99.73
BK0914,医废处理,97.3,96.77,98.11,98.38,99.19,98.92,99.19,98.38,98.11,97.57,98.11,97.04,94.07,94.88,95.69,96.77,98.11,97.3,88.68,82.21,11.86,94.61,91.11,50.94,7.28,3.23,0.27,4.04,1.62,3.5,8.36,0.0,1.35,4.04,0.81,0.81,1.08,0.81,4.85,4.31,5.39,19.41,50.67,69.27,77.09,79.25,89.22,85.71,86.79,96.23,90.3,85.71,65.77,34.5,28.03,59.3,28.3,31.54,24.53,1.89,9.16,12.94,12.67,30.46,14.56,8.09,20.22,10.24,9.7,32.08,31.81,34.23,27.49,20.75,37.47,46.63,43.94,69.27,84.91,69.27,69.54,59.03,72.78,81.4,79.78,76.28,79.51,58.76,68.46,73.32,91.64,93.26,91.37,88.68,85.44,78.71,76.28,80.32,60.38,65.77,23.45,9.97,9.43,11.59,29.11,26.15,21.56,18.06,27.76,21.56,34.77,66.31,70.62,76.82,80.32,84.1,86.25,81.94,75.74,69.54,80.05,81.94,78.71,73.85,59.03,86.79,90.3,92.72,92.18,94.07,88.68,87.33,87.33,85.98,92.72,55.53,71.97,48.79,77.09,77.36
