,NAME,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14
BK0966,碳交易,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.46,99.46,98.92,98.65,98.11,99.19,98.65,97.3,90.3,85.44,19.14,28.03,16.44,21.29,2.7,1.35,0.54,2.43,1.62,0.27,1.35,1.35,1.08,11.05,4.58,5.39,18.33,11.05,4.58,11.32,17.79,51.75,71.97,72.51,83.02,89.22,85.98,89.22,94.34,95.69,96.77,95.96,97.57,96.23,89.22,76.82,63.88,71.16,66.85,72.78,64.69,51.48,39.89,37.74,28.84,33.96,46.09,40.16,33.42,32.08,15.9,22.64,8.63,16.44,21.56,39.08,44.2,51.48,63.88,46.9,73.58,77.9,79.51,79.78,69.81,57.95,47.71,50.13,45.01,51.48,48.52,43.13,49.87,54.18,60.92,45.28,47.71,35.58,35.04,42.86,20.75,39.62,38.27,44.74,57.95,58.76,59.3,50.67,59.03,60.65,71.7,77.36,77.36,74.39,72.78,79.25,81.4,88.68,91.64,90.84,89.76,85.98,88.14,86.25,86.52,87.6
BK0479,钢铁行业,99.46,99.46,99.46,99.46,98.38,98.92,98.92,98.92,93.26,86.52,86.52,79.78,90.57,87.6,94.34,56.06,77.63,92.72,92.18,89.76,97.57,92.99,97.57,90.84,96.77,98.38,96.77,93.8,95.96,97.04,99.46,99.46,99.19,98.38,97.57,97.57,92.45,99.46,99.46,99.19,98.65,98.11,87.87,90.57,89.49,91.91,91.11,87.06,89.22,89.49,79.51,44.74,59.57,49.87,31.27,35.85,30.46,5.66,0.0,0.0,0.27,0.27,1.08,8.89,5.39,2.43,3.23,12.67,9.43,17.79,23.18,29.65,41.24,28.3,32.08,38.27,56.87,36.39,52.56,63.07,75.74,47.71,65.5,47.71,66.85,67.65,92.18,94.07,90.57,87.6,86.25,90.3,90.03,91.11,90.03,91.37,82.75,88.68,77.09,71.16,73.32,79.25,76.01,81.67,74.12,78.44,69.0,69.81,76.01,90.3,92.18,80.05,79.78,65.77,83.83,81.94,91.91,88.95,96.77,97.04,98.38,97.3,98.11,98.38,98.92,98.11,98.92,98.65,98.11,95.96
BK0485,旅游酒店,99.19,98.65,96.23,98.65,98.65,99.19,99.19,97.57,98.65,97.3,93.8,97.84,97.84,97.3,95.69,94.07,94.34,97.57,96.77,83.83,87.87,92.72,87.87,16.71,63.61,60.38,71.16,90.3,74.12,78.98,80.05,37.47,23.72,14.02,43.94,40.43,65.77,1.62,5.12,12.94,9.43,2.16,2.43,1.89,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.27,0.0,6.47,6.47,8.63,7.01,21.02,9.43,9.43,21.83,20.75,24.26,26.42,17.52,13.48,21.83,15.9,13.48,8.89,44.47,28.84,19.95,26.95,27.22,16.98,11.59,7.01,14.29,19.95,21.02,17.25,14.29,15.9,44.2,32.88,13.75,10.51,10.24,9.97,7.55,4.31,4.85,1.89,1.08,1.08,1.62,1.35,1.08,0.54,1.08,1.35,2.16,2.16,2.43,4.31,8.36,7.28,15.09,26.95,24.8,44.74,80.32,89.22,93.53,85.98,95.69,90.57,96.23,93.26,91.11,92.45,91.64,95.15,70.35,61.19
BK0725,装修装饰,98.92,97.84,90.57,91.11,94.88,94.88,96.23,95.42,94.07,91.91,90.57,80.59,81.4,76.01,77.63,89.22,85.44,58.22,10.24,2.16,8.09,8.36,15.09,11.05,8.89,15.36,16.71,14.02,7.55,9.16,15.63,9.43,6.74,10.78,9.97,4.85,3.77,7.01,10.51,9.97,10.51,10.78,9.43,12.4,4.31,1.62,1.89,5.12,3.77,3.77,3.77,5.12,4.31,4.85,2.7,7.28,13.21,19.95,12.94,13.21,12.4,17.25,16.98,20.22,34.23,50.67,47.17,36.66,32.35,28.57,36.66,60.38,68.73,68.19,70.35,74.12,75.47,75.2,74.66,84.91,76.82,68.19,75.74,62.26,71.7,69.0,77.9,80.86,78.17,71.43,67.12,29.38,19.41,20.75,29.92,16.71,21.83,16.44,14.82,12.67,13.21,11.59,9.97,11.05,7.28,9.16,6.74,7.55,14.29,20.49,22.1,14.56,15.36,16.44,7.28,15.63,23.45,16.44,16.71,16.98,31.0,42.59,43.67,31.54,33.42,32.88,41.51,38.54,39.62,25.07
BK0437,煤炭采选,98.65,97.04,98.92,97.3,92.18,95.96,84.91,76.28,54.72,41.78,39.62,47.17,78.71,91.64,82.75,60.38,47.71,55.8,34.5,31.0,16.17,21.83,21.02,4.31,13.75,19.68,65.23,77.36,77.63,92.72,95.15,89.49,94.88,78.98,91.91,93.53,88.14,95.96,98.92,99.46,99.19,98.92,95.15,95.69,93.53,94.34,89.76,77.63,85.18,79.51,76.55,82.21,68.46,76.01,19.14,40.43,85.98,67.12,5.93,1.08,1.35,12.94,47.44,81.94,77.09,77.9,84.91,87.33,67.65,81.13,86.52,90.03,95.42,82.21,85.18,64.69,45.82,30.73,56.06,50.13,38.27,1.08,13.75,4.04,10.51,15.9,12.94,61.46,79.25,74.39,38.27,33.42,29.11,76.55,75.2,81.67,72.24,74.93,57.95,36.66,66.04,82.21,85.18,89.22,78.98,85.44,84.1,84.37,85.71,87.06,93.53,92.18,86.79,86.25,87.6,94.07,98.65,98.11,98.65,99.19,99.19,99.19,98.92,99.73,99.73,99.46,99.73,99.46,99.46,99.46
BK0511,ST股,98.38,95.15,91.91,92.99,95.69,95.15,97.3,98.65,97.3,98.11,97.84,98.11,97.04,97.57,97.84,97.57,97.3,96.23,95.15,95.15,93.53,96.77,97.3,95.15,94.07,91.11,87.33,80.59,81.67,75.74,67.12,74.66,77.36,70.08,61.46,46.36,36.66,28.84,43.4,56.87,63.34,52.83,65.77,62.8,15.9,13.48,18.6,18.33,16.17,8.09,7.82,4.31,3.5,13.75,15.63,27.49,44.2,77.63,63.61,69.0,83.29,92.18,64.42,79.78,94.61,96.5,93.53,94.61,93.26,95.42,95.42,97.04,98.38,96.77,98.38,96.77,96.23,95.96,96.5,97.04,91.11,88.14,92.99,85.71,86.79,80.05,87.06,88.68,87.06,83.83,77.09,56.33,49.06,61.99,55.53,65.77,57.95,44.47,24.53,17.52,16.17,9.97,9.43,13.21,18.6,23.45,21.83,19.95,33.96,38.27,44.47,59.57,63.88,56.6,47.17,52.83,67.92,79.25,86.25,81.4,87.87,85.71,86.79,84.64,80.59,79.25,76.82,78.98,68.73,67.39
BK0492,煤化工,98.11,97.3,97.57,97.04,96.5,96.23,94.34,92.18,86.79,71.7,54.72,59.84,80.86,85.71,87.6,77.09,80.32,88.95,89.22,88.41,82.48,71.7,66.58,22.1,20.49,38.81,31.27,42.86,40.97,77.09,85.71,85.44,83.29,65.77,74.93,78.17,70.62,87.06,92.72,92.99,91.37,92.18,86.52,86.52,88.41,90.84,88.95,84.91,88.95,88.14,84.91,85.18,89.22,90.84,82.48,84.1,91.91,88.68,40.16,27.76,41.51,56.6,63.88,83.83,75.2,69.0,71.97,73.05,60.38,67.12,71.16,71.43,84.64,71.16,75.2,62.8,53.64,49.87,61.99,60.38,62.8,36.12,64.15,53.91,67.92,72.51,84.1,91.64,91.64,90.84,89.49,88.14,86.25,89.76,86.79,90.03,84.91,83.29,79.25,73.58,77.9,84.91,81.13,88.68,77.63,79.25,77.9,80.86,86.25,88.14,90.84,86.25,83.83,81.94,90.03,93.53,97.3,97.84,97.84,96.5,97.84,97.84,98.38,98.92,98.65,98.92,98.65,98.38,97.84,97.57
BK0728,环保工程,97.84,97.57,98.11,99.19,99.46,99.46,99.46,99.46,99.19,99.46,99.46,99.46,98.92,98.65,90.57,97.04,92.45,92.18,78.17,94.07,91.64,86.79,71.43,60.38,9.7,12.67,14.56,13.48,0.54,0.54,0.27,0.81,0.54,0.54,3.23,0.54,1.35,4.04,4.31,1.35,5.39,5.39,2.96,4.31,3.77,7.01,19.68,16.44,15.9,21.29,17.25,25.88,31.0,28.3,29.11,29.65,51.75,53.91,31.27,39.08,31.54,37.47,29.92,21.83,27.76,20.22,10.24,19.68,20.22,23.99,30.19,33.96,25.88,29.38,23.72,18.6,6.47,6.2,15.09,23.45,29.92,40.97,62.26,38.54,57.68,59.57,61.19,54.72,45.28,26.68,31.27,29.92,31.27,46.9,45.55,42.32,44.2,47.17,51.48,32.61,31.0,25.88,16.71,26.42,18.06,24.26,29.92,33.96,52.83,61.46,62.8,52.29,45.55,28.84,43.94,56.33,57.95,50.94,43.4,73.85,72.24,72.51,70.08,69.54,59.03,58.76,66.04,57.14,64.69,49.06
BK0692,在线旅游,97.57,98.11,95.96,97.57,98.92,98.11,97.84,95.96,96.77,95.42,90.84,95.69,96.77,94.34,89.22,90.57,88.14,95.42,94.07,65.23,66.58,84.1,77.09,12.13,25.07,48.79,60.11,87.6,71.7,74.66,82.75,35.85,26.68,12.67,35.58,18.6,36.12,0.81,3.5,11.86,9.16,1.62,2.16,1.62,0.54,0.54,0.54,0.54,0.54,0.27,0.27,0.54,0.54,1.08,0.81,0.81,0.54,13.21,11.05,9.16,7.55,13.48,8.89,8.63,21.29,19.95,16.44,22.91,6.47,3.77,8.63,9.16,8.89,6.74,28.84,19.14,17.79,16.17,16.17,10.51,7.82,5.12,8.36,15.36,21.29,9.7,16.71,22.1,62.8,41.51,13.48,15.09,9.16,10.24,6.47,5.39,5.12,3.77,2.7,2.43,2.43,3.5,2.7,1.08,0.54,2.96,2.96,1.89,1.62,4.04,7.82,5.93,12.13,22.64,20.75,40.16,72.24,80.32,87.06,78.71,93.8,88.95,95.15,90.57,90.03,87.6,85.71,90.57,66.31,50.94
BK0603,页岩气,97.3,96.23,96.5,95.42,95.96,95.42,93.53,93.8,90.84,85.98,91.91,91.91,91.11,93.53,97.57,95.69,74.66,51.21,60.92,81.4,89.22,89.22,86.52,75.74,73.58,74.12,74.66,67.65,51.21,49.87,36.39,48.25,46.36,22.91,8.36,5.39,8.63,38.27,38.01,53.37,47.17,51.75,19.68,29.92,30.46,65.5,58.22,66.04,83.83,84.91,80.86,74.39,78.44,79.25,77.36,84.37,96.23,91.11,58.76,28.3,31.81,42.32,39.35,65.5,59.3,62.26,49.6,43.94,36.12,55.26,53.91,57.68,60.11,58.22,54.99,49.6,13.75,26.42,38.81,41.24,46.09,34.5,55.8,30.73,40.43,20.22,36.12,51.48,40.43,20.49,28.3,36.12,40.97,52.56,56.33,59.03,61.99,61.46,59.3,55.53,57.95,59.57,59.03,67.65,67.92,71.97,69.27,70.89,82.21,86.52,91.11,85.71,88.41,88.14,85.44,84.37,90.84,91.11,91.64,90.84,92.72,92.18,90.84,94.07,92.99,90.3,96.23,94.88,91.11,93.26
