,NAME,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-02-07,2022-02-08,2022-02-09,2022-02-10
BK0987,盐湖提锂,99.76,99.76,99.76,99.76,99.76,99.52,95.68,96.88,94.96,52.28,31.41,99.52,99.52,95.68,98.32,95.44,26.62,3.6,59.23,78.9,53.0,97.6,97.36,97.84,92.33,89.21,11.99,58.75,50.36,0.72,62.59,88.97,88.01,62.11,97.36,97.36,96.4,77.94,85.13,92.33,94.24,56.35,84.41,6.24,5.28,1.2,26.14,9.59,91.13,86.09,96.4,96.4,93.05,70.74,7.67,0.24,0.0,2.4,0.72,3.36,5.76,7.19,4.08,9.11,30.22,11.27,41.73,95.92,97.12,98.08,98.08,91.85,77.94,93.76,67.15,7.19,15.83,2.4,1.68,1.2,6.47,5.76,78.9,76.98,60.43,72.42,89.93,4.32,2.4,47.96,98.08,97.84,98.8,99.52,98.08,59.71,98.32,95.2,84.65,89.21,79.14,7.67,2.64,5.04,5.76,3.36,66.91,88.97,94.24,87.77,90.41,35.01,24.46,15.11,24.7,6.0,2.4,0.24,73.14,87.53,84.65,99.52,93.76,14.87,35.25,25.9,6.0,36.21,73.62,1.2,12.71,5.52,2.88,0.24,0.0,9.83,77.46,85.85,94.96,98.08,90.65,26.86,12.71,15.11,18.23
BK0816,昨日连板,99.52,99.52,98.32,95.92,97.12,98.08,98.32,98.08,99.52,98.56,99.76,99.76,98.8,98.08,96.88,98.32,98.32,98.56,99.04,99.76,99.28,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.52,99.76,99.76,99.52,98.56,98.8,98.32,98.8,98.32,99.76,99.76,99.76,99.76,99.76,99.28,92.81,97.84,92.81,97.12,98.08,99.76,99.76,99.76,99.52,99.52,99.52,99.76,99.52,98.08,62.11,77.7,13.67,56.83,98.08,97.84,8.87,13.43,35.73,2.64,17.27,96.16,99.04,99.76,99.76,99.76,99.76,99.52,99.76,99.52,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.52,99.52,99.76,99.04,99.52,99.52,99.76,99.76,99.76,99.52,99.76,99.76,99.76,99.76,99.76,99.76,99.76,98.08,88.01,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.52,81.77,62.83,99.76,99.76,99.76,99.76,99.76,99.28,81.53,96.64,98.32,98.56,99.52,99.52,99.76,98.8,99.04,99.76,99.04,97.12,99.76,95.2,3.12,32.13,80.82,37.89,98.32,99.76
BK0815,昨日涨停,99.28,98.56,97.84,97.12,96.16,97.6,99.52,96.4,97.6,97.84,98.8,98.8,99.04,99.04,99.52,99.52,99.76,99.76,99.76,99.52,99.76,99.04,99.52,99.04,99.52,99.52,99.52,99.04,99.52,99.28,99.04,99.52,99.52,98.8,99.52,99.52,99.04,98.32,98.8,97.84,98.56,99.52,99.52,99.52,99.04,95.92,96.4,94.0,92.09,93.53,98.32,96.88,98.32,98.32,98.56,98.56,99.04,98.56,98.56,85.13,57.31,35.49,65.23,93.53,90.89,98.08,98.56,96.4,89.21,94.72,97.6,98.8,99.28,99.52,99.52,99.28,98.8,99.28,99.04,98.56,96.88,98.56,98.8,99.04,99.28,98.8,99.52,99.28,99.04,98.56,98.56,99.28,97.12,98.08,99.28,99.04,99.04,99.04,99.52,99.52,99.52,99.52,99.52,99.52,98.8,96.16,99.28,97.84,98.32,99.04,99.52,99.52,99.52,99.52,99.52,99.28,96.16,74.58,26.14,92.81,97.36,98.8,99.52,99.52,99.52,99.52,99.76,99.28,98.8,99.04,99.04,99.52,99.04,98.32,98.56,94.0,94.0,97.84,98.08,83.21,98.08,95.68,90.17,99.28,97.84
BK1027,小金属,99.04,99.28,99.28,99.28,97.84,94.72,78.66,93.29,36.45,65.71,95.68,99.04,94.48,95.92,93.53,74.1,56.59,80.58,89.45,49.88,43.41,78.66,24.22,82.49,96.64,98.8,96.4,97.12,83.21,6.0,10.31,7.43,4.32,7.43,96.16,97.12,97.6,97.12,96.64,95.2,95.44,58.03,59.47,3.12,0.96,0.24,7.67,3.84,87.29,91.37,91.37,93.29,74.1,6.71,1.68,1.2,1.2,1.2,1.92,2.64,2.16,1.68,6.47,14.15,43.17,38.37,82.97,94.72,93.53,87.77,92.81,79.38,69.06,85.13,92.33,22.06,78.9,60.67,18.23,10.31,53.24,41.73,54.44,69.54,60.67,47.96,67.39,17.75,14.15,78.42,97.36,95.44,98.56,99.04,99.52,99.52,99.76,99.52,98.8,86.81,93.76,24.46,18.71,22.54,41.97,4.08,10.79,4.08,20.38,17.99,32.37,5.04,9.59,14.39,7.91,7.91,8.63,1.92,4.08,6.47,11.51,35.73,12.95,5.52,7.67,6.47,10.31,36.69,82.49,40.77,70.02,48.2,50.6,9.59,20.86,34.05,66.43,70.5,88.97,92.81,66.67,73.38,58.75,67.63,67.39
BK0690,氟化工,98.8,98.8,99.04,98.32,98.8,98.8,99.04,98.8,99.28,93.29,83.93,96.64,94.0,89.45,93.05,90.65,73.14,75.06,53.0,43.41,39.33,78.9,22.54,90.17,88.01,92.09,87.53,98.56,95.92,95.44,92.09,83.21,51.32,70.26,95.68,97.6,98.56,96.88,96.88,95.44,95.92,84.41,88.25,15.59,7.19,19.9,86.09,59.47,98.08,98.32,97.84,98.8,98.56,97.84,97.36,81.77,5.28,4.56,0.96,0.48,2.64,2.4,0.96,4.08,15.11,3.6,21.82,90.17,95.44,97.84,99.04,98.08,98.8,98.32,97.84,86.33,90.89,17.51,7.19,0.72,0.48,0.24,0.96,1.68,2.88,12.95,44.12,2.4,0.48,0.72,2.64,2.16,79.14,87.05,76.5,68.59,90.65,88.01,95.68,96.16,96.64,66.67,49.16,13.67,45.56,6.47,39.81,12.95,47.24,7.91,26.86,5.52,3.12,6.95,10.31,3.36,3.6,5.04,35.97,57.79,57.79,90.17,45.08,6.0,2.64,4.8,4.8,15.11,49.88,16.79,42.21,27.58,23.02,2.88,1.68,7.91,26.62,44.36,85.85,95.44,92.33,83.45,53.0,22.3,17.27
BK0907,转基因,98.56,97.36,96.4,94.24,90.41,59.23,62.59,14.15,14.15,93.53,80.1,75.78,84.41,92.81,81.06,93.76,89.21,96.16,91.61,87.77,90.41,93.29,96.64,94.0,86.81,36.93,65.23,22.06,89.69,60.43,27.82,19.66,7.19,0.48,3.6,23.26,53.48,37.17,47.0,83.45,88.25,49.88,87.77,97.12,59.71,28.3,91.13,85.37,38.85,91.13,94.0,91.85,97.84,96.4,76.74,89.45,8.39,5.28,6.95,11.99,10.07,93.29,98.08,95.92,53.0,63.79,6.0,58.99,61.15,90.41,88.25,95.2,7.91,1.2,49.64,13.43,11.27,76.5,94.24,78.66,94.24,96.16,68.59,94.72,70.98,78.42,95.68,32.85,4.08,1.68,1.2,0.0,48.68,28.54,1.68,1.2,4.32,2.88,9.83,56.12,46.28,46.04,39.81,71.94,88.01,97.6,97.84,92.81,70.26,34.29,28.78,53.0,91.61,84.41,94.72,97.84,90.65,18.47,53.0,5.76,0.0,0.24,19.9,17.99,48.44,24.7,29.26,12.23,6.0,3.6,15.83,8.39,12.47,11.27,15.83,17.27,42.21,29.98,57.31,84.41,96.88,92.33,95.68,96.64,94.48
BK0578,稀土永磁,98.32,99.04,98.8,98.56,96.4,95.68,75.54,91.13,19.42,18.94,69.54,95.44,93.53,96.88,96.4,93.05,83.21,84.17,93.29,76.02,38.85,85.13,33.57,61.39,74.34,96.64,92.57,94.24,80.34,47.72,35.49,11.75,6.24,5.76,82.25,86.57,92.09,93.53,94.72,94.0,94.0,45.8,46.76,7.91,4.32,3.6,32.37,20.38,80.1,87.05,88.73,88.25,54.92,11.03,3.36,1.68,3.36,4.8,5.76,6.71,7.43,5.28,15.83,20.14,30.46,22.06,62.35,88.49,88.97,85.13,89.93,81.53,82.01,84.89,90.89,43.41,82.01,53.48,25.42,12.47,58.51,43.65,71.22,68.59,64.03,46.28,53.0,16.55,18.47,84.65,96.4,96.16,97.36,98.8,98.8,98.08,99.28,99.28,97.12,70.26,86.09,6.24,4.56,18.94,42.93,13.43,43.41,30.94,29.26,24.7,35.25,6.47,23.02,26.38,12.95,17.51,18.47,5.52,13.67,11.99,12.95,40.29,8.87,3.84,8.87,6.95,6.95,14.39,45.56,10.55,24.22,24.94,29.5,6.95,6.0,16.31,46.04,53.72,82.73,91.13,80.34,76.02,59.71,60.19,56.35
BK1036,半导体,98.08,65.47,95.68,87.29,71.7,7.91,1.44,0.0,0.0,0.48,86.57,96.16,98.56,98.8,99.28,99.76,98.8,98.32,97.84,78.18,0.0,20.62,0.24,0.0,0.48,36.45,4.56,14.63,0.48,22.06,13.19,8.87,5.76,75.06,25.9,88.49,83.69,43.65,9.11,4.56,0.24,1.2,0.0,0.96,5.76,5.76,1.2,4.56,62.11,1.44,6.47,10.79,14.87,0.0,33.57,26.62,49.64,81.53,90.17,82.25,84.17,64.27,41.49,20.86,38.37,20.14,95.2,82.01,85.13,51.08,35.97,13.43,70.5,64.99,57.55,83.93,67.39,66.91,95.2,97.36,94.96,91.37,58.27,49.16,59.23,88.25,76.02,85.85,36.93,35.25,6.47,8.39,92.57,93.53,94.72,98.8,91.61,32.85,25.66,17.51,2.88,51.56,17.75,6.95,11.27,11.75,0.96,8.15,54.92,11.27,9.59,2.88,2.64,1.44,2.4,3.84,28.78,22.54,51.56,24.7,49.64,31.18,9.11,3.6,4.56,2.88,3.84,3.6,8.15,4.56,27.58,47.72,84.17,74.34,78.42,35.73,47.96,36.45,64.27,61.39,53.96,22.78,2.88,1.2,3.12
BK0478,有色金属,97.84,97.84,96.88,97.84,96.64,94.24,93.76,95.44,91.37,94.24,94.72,96.88,94.24,96.16,95.68,95.2,87.05,94.0,89.69,31.41,6.47,49.4,6.95,35.25,64.75,92.33,88.73,96.88,91.37,73.62,93.29,81.29,24.94,20.62,93.29,95.2,98.08,98.56,98.56,98.56,97.6,89.21,83.93,15.83,4.8,1.68,51.56,61.63,95.68,97.36,95.44,94.0,69.78,13.43,0.48,1.92,0.72,0.72,1.44,1.44,1.44,1.92,7.91,12.95,29.26,64.75,92.33,97.6,97.36,95.2,93.29,68.35,21.1,24.7,25.66,1.92,9.59,4.56,6.24,9.35,19.66,12.23,12.95,17.27,9.59,26.38,53.48,28.54,18.71,53.24,80.82,89.93,90.17,94.48,96.4,91.13,87.53,88.25,70.74,43.88,28.06,19.66,27.34,38.13,55.16,36.21,62.11,38.13,19.18,5.76,30.7,19.18,21.1,42.21,51.08,84.17,56.12,43.17,57.79,56.59,18.47,27.1,31.65,18.94,23.98,31.41,28.06,52.76,85.61,83.93,67.39,57.55,57.79,31.41,26.86,59.71,59.95,52.52,72.42,74.58,47.0,75.3,81.06,85.37,84.65
BK0574,锂电池,97.6,97.6,98.08,97.36,97.6,97.84,95.2,92.57,82.73,20.62,45.56,93.76,91.85,93.53,94.0,89.93,73.86,81.06,86.09,82.01,77.7,94.96,84.89,95.44,92.09,94.48,85.61,90.89,81.77,61.15,52.28,17.51,15.83,12.23,86.57,93.76,94.24,89.45,90.89,91.13,88.73,45.56,54.2,11.99,7.91,7.91,32.13,15.35,81.53,85.13,90.41,95.2,93.76,73.62,60.19,5.04,4.08,6.47,5.04,5.52,11.27,7.91,11.75,14.87,38.85,21.58,66.91,93.76,94.96,94.24,94.0,91.37,91.37,93.53,92.81,80.34,89.69,70.26,39.09,11.75,37.89,16.55,43.17,56.12,53.24,39.81,73.86,15.59,5.52,26.62,73.86,71.7,94.72,95.92,89.45,69.3,84.41,78.18,72.18,82.49,90.41,65.95,24.46,14.63,23.98,8.15,21.58,18.47,44.84,15.11,23.74,5.76,4.8,6.71,8.15,5.52,4.8,7.19,33.81,38.85,22.78,76.98,32.61,7.91,9.11,10.79,7.67,15.35,51.08,18.71,52.52,53.24,61.39,14.87,18.23,22.78,49.88,58.27,83.69,92.09,89.21,68.35,36.69,23.5,14.15
