,NAME,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15
BK0889,医疗美容,99.73,99.73,99.46,99.19,99.73,99.73,99.73,99.19,99.46,98.92,98.65,98.11,97.84,98.11,98.65,99.19,99.19,98.92,98.92,98.92,98.65,98.11,97.3,96.5,93.53,87.06,84.37,79.51,69.0,79.78,81.13,83.29,82.21,72.24,66.04,63.34,49.87,25.34,12.4,15.09,5.12,7.28,12.94,11.59,8.09,2.16,1.62,1.62,2.43,0.81,0.54,1.08,1.62,1.08,0.54,0.81,0.54,0.54,0.0,0.0,0.54,0.81,1.08,1.62,1.08,1.08,1.35,2.16,1.89,2.96,2.96,2.16,1.89,1.62,1.62,1.62,1.08,1.35,1.35,1.62,1.35,1.08,1.35,2.16,2.16,2.16,7.55,12.4,9.43,2.16
BK0477,酿酒行业,99.46,99.46,99.73,99.73,99.46,99.46,99.46,99.46,99.73,99.73,99.73,99.73,99.46,99.46,98.11,98.65,98.92,98.65,98.38,98.11,98.92,97.3,97.57,97.84,97.84,97.3,93.53,90.57,92.45,93.26,92.72,92.18,90.03,87.6,85.98,77.63,78.17,64.42,42.32,59.3,45.01,20.75,39.62,41.78,24.8,19.68,17.25,21.02,40.16,35.04,30.19,23.72,22.1,4.85,6.74,5.66,2.7,1.89,1.89,1.89,1.08,0.54,0.27,0.0,0.27,0.54,0.81,1.62,0.81,0.54,0.27,0.27,0.27,0.27,0.27,0.81,0.81,0.54,0.54,1.08,3.5,2.96,4.58,2.96,2.7,3.5,15.63,36.93,21.83,12.13
BK0896,白酒,99.19,99.19,99.19,99.46,99.19,99.19,99.19,98.65,99.19,99.19,99.19,99.19,98.92,98.65,97.84,98.38,98.65,97.84,98.65,98.38,99.19,98.65,98.11,98.38,98.11,98.11,94.34,92.45,94.61,95.69,93.8,93.8,94.07,91.64,90.57,86.79,84.91,77.36,60.11,73.32,59.03,45.82,57.14,57.14,45.28,44.2,41.78,47.71,56.6,50.13,47.44,40.16,42.59,21.56,20.75,16.71,9.7,7.82,8.09,6.74,4.31,2.96,1.35,0.27,3.23,3.23,3.77,6.2,4.04,4.04,1.35,2.7,2.96,2.43,2.16,3.23,3.5,2.96,2.16,2.43,6.2,4.04,7.82,5.39,4.58,7.01,15.36,28.84,12.67,5.93
BK0973,注射器概念,98.92,98.92,98.38,98.11,98.38,98.65,97.57,97.57,97.57,98.11,97.04,96.5,97.57,97.57,97.04,97.57,97.84,98.11,97.84,97.04,97.84,98.38,98.65,97.57,97.57,97.04,96.77,97.57,98.11,98.65,98.38,97.57,97.57,96.5,96.77,93.26,91.37,85.71,81.67,85.71,79.51,76.82,83.02,90.84,85.98,87.6,81.13,78.71,71.16,69.54,71.97,73.32,74.66,73.05,71.16,73.05,71.16,62.26,53.91,56.33,52.83,60.11,55.53,55.8,62.53,64.15,69.81,67.92,66.85,64.15,62.53,66.31,61.19,66.58,57.68,59.03,70.08,57.68,55.26,60.92,66.04,67.92,44.2,74.39,60.38,67.65,77.9,74.12,73.05,53.37
BK0899,CRO,98.65,98.38,98.92,98.92,98.92,98.92,98.11,98.38,98.38,98.38,98.11,97.84,98.38,98.38,98.92,98.11,98.11,97.57,97.04,95.42,98.11,97.04,95.96,90.84,89.22,81.4,82.21,89.76,91.64,92.18,92.99,89.22,87.87,81.4,83.02,70.89,61.73,43.67,45.82,67.92,61.19,66.04,74.66,80.86,78.98,79.78,69.81,67.39,53.37,58.49,59.03,54.72,45.01,37.74,31.0,42.32,36.66,40.16,47.17,37.74,32.08,32.61,23.72,18.87,21.56,13.75,13.48,29.38,23.72,23.72,25.07,19.95,11.05,15.09,20.22,34.5,46.9,45.28,35.85,52.02,43.67,57.95,75.2,86.52,85.44,86.25,89.76,89.22,83.83,77.36
BK0968,固态电池,98.38,98.11,98.65,98.65,98.11,98.11,97.84,97.84,98.11,97.57,97.57,98.38,98.11,98.92,99.46,99.46,99.46,99.73,99.73,99.73,99.73,99.46,99.46,99.46,99.46,99.46,99.46,99.46,99.73,99.73,99.73,99.46,99.19,99.19,99.19,99.19,99.19,99.19,98.38,98.38,98.38,98.11,98.65,98.65,98.65,98.65,98.92,98.92,98.38,98.38,97.57,97.3,96.23,96.5,96.5,97.57,97.57,97.04,96.23,95.42,93.53,95.15,94.07,95.42,94.88,94.88,91.91,94.07,94.88,95.96,94.34,93.53,92.72,93.26,92.45,91.11,90.84,85.98,85.18,86.25,90.3,87.06,88.41,90.3,81.94,81.94,59.57,60.11,48.79,83.29
BK0974,化妆品概念,98.11,98.65,97.84,97.84,97.84,97.3,97.04,97.3,97.04,97.04,93.8,93.53,93.53,94.88,92.72,92.18,93.8,93.53,93.26,93.26,93.53,92.18,91.37,88.95,84.1,68.46,69.27,64.69,57.68,64.42,71.16,70.08,63.88,51.75,40.43,40.43,29.38,15.09,10.78,11.86,7.01,6.2,9.7,11.05,10.24,5.39,3.5,5.39,4.31,2.7,1.89,2.43,3.77,2.7,2.43,2.16,1.35,2.7,1.62,1.62,2.43,2.43,2.43,2.96,2.96,3.77,2.96,3.5,2.7,2.7,3.23,2.96,2.16,2.16,2.7,3.77,2.7,3.5,2.43,2.96,2.16,2.43,1.89,3.23,2.96,3.77,8.09,11.86,13.48,5.66
BK0939,辅助生殖,97.84,97.84,97.57,97.3,97.04,96.5,95.69,95.69,95.42,95.42,88.68,89.76,91.11,90.84,85.71,84.37,84.37,80.05,73.58,71.43,69.27,62.53,57.68,51.48,40.43,29.65,32.88,24.26,19.95,23.18,22.1,23.72,28.03,23.18,23.18,16.17,4.31,1.62,0.81,1.89,1.89,1.62,3.5,4.31,5.12,2.43,2.16,1.89,2.16,1.62,1.62,1.89,2.43,2.43,1.62,1.89,1.62,1.62,1.35,1.08,1.35,1.62,1.89,1.35,0.81,0.81,1.08,1.35,1.62,1.62,2.43,1.89,2.43,2.7,2.96,2.7,3.23,4.04,3.5,3.23,2.96,3.23,4.04,4.58,5.39,9.7,10.24,16.44,13.21,3.5
BK0698,免疫治疗,97.57,97.3,97.3,97.04,97.3,96.77,96.5,96.5,96.23,96.23,93.53,92.72,92.72,93.53,92.99,92.45,92.72,94.07,94.34,93.8,95.42,95.96,95.42,95.42,92.72,90.3,88.14,84.91,83.29,84.1,77.9,76.82,76.01,67.92,67.65,52.29,32.08,15.9,14.02,26.68,18.06,32.88,38.81,46.9,37.74,26.95,12.67,9.7,8.09,7.82,8.36,8.36,10.51,11.59,8.36,7.82,6.74,8.36,4.31,5.12,5.39,6.2,5.12,4.58,4.85,6.47,7.82,7.82,8.09,8.09,7.55,7.55,7.55,8.09,6.74,5.39,8.09,6.2,4.31,4.04,2.43,1.89,1.62,2.7,2.43,3.23,2.96,2.96,2.16,1.89
BK0723,高送转,97.3,97.04,97.04,96.5,96.5,95.69,96.77,96.77,95.69,81.67,80.05,74.93,80.86,88.14,89.49,91.64,87.33,88.41,88.14,86.79,86.25,83.83,85.18,86.79,83.56,82.48,83.29,83.83,83.02,85.71,86.79,83.02,81.67,80.59,80.86,77.9,76.01,75.47,77.36,80.86,82.48,84.37,87.87,91.11,89.76,88.14,85.44,85.44,84.1,82.75,81.67,80.32,83.29,81.94,81.67,79.51,78.71,77.36,75.47,74.66,71.97,71.97,70.89,69.27,69.54,69.81,66.85,70.35,68.46,69.54,67.12,66.04,55.26,56.87,52.56,53.37,56.6,52.29,50.4,50.67,61.46,58.49,58.76,62.26,54.18,49.87,47.17,49.06,53.64,53.91
